Hl,Hnl
0.004,0.06
0.443,0.744
0.004,0.014
0.44,0.622
0.049,0.06
0.021,0.06
0.022,0.06
0.017,0.06
0.746,0.79
0.016,0.06
0.72,0.783
0.023,0.035
0.04,0.035
0.015,0.035
0.11,0.064
0.03,0.027
0.548,0.633
0.24,0.633
0.019,0.154
0.013,0.154
0.08,0.355
0.018,0.035
0.081,0.035
0.71,0.744
0.09,0.771
0.122,0.09
,
0.583,0.795
0.65,0.79
0.602,0.783
,
0.053,0.154
0.013,0.154
0.043,0.154
0.002,0.022
0.66,0.771
0.04,0.022
0.43,0.683
,
0.32,0.154
0.621,0.606
0.757,0.79
0.5,0.79
0.017,0.037
0.05,0.038
0.044,0.038
0,0.038
0.01,0.06
0.036,0.067
0.418,0.622
0.27,0.66
0.01,0.03
0.013,0.03
0.01,0.03
0.047,0.048
,
0.434,0.683
0.54,0.622
0.602,0.633
0.082,0.067
0.041,0.067
0.046,0.067
0.02,0.067
0.005,0.067
0.098,0.067
0.073,0.067
0.08,0.067
0.065,0.067
0.67,0.81
0.003,0.065
0.685,0.703
0.016,0.06
0.795,0.795
0.078,0.048
0.07,0.058
0.079,0.058
0.79,0.79
0.02,0.022
0.008,0.022
0.788,0.82
0.043,0.06
0,0.06
0.594,0.771
0.83,0.783
0.052,0.037
0.043,0.078
0.594,0.608
0.019,0.067
0.639,0.777
0.045,0.04
0.373,0.793
0,0.04
0.739,0.793
0.013,0.04
0.071,0.04
0.032,0.024
0,0.06
0,0.063
0.014,0.059
0,0.063
0.5,0.771
,
0,0.063
0.62,0.86
,
0.167,0.078
0.687,0.86
0.69,0.86
0.579,0.66
0.024,0.06
0.83,0.79
0.12,0.06
0.029,0.067
0.56,0.783
0,0.154
0.497,0.82
0.005,0.046
,
0.075,0.043
0.089,0.06
0.055,0.06
0.007,0.06
0.759,0.608
0.015,0.046
0.039,0.06
0.02,0.097
0,0.011
0.68,0.686
0.014,0.01
0.035,0.01
0,0.087
0.556,0.76
0.019,0.002
0,0.002
0.162,0.679
0.717,0.94
0.12,0.488
0.7,0.488
0.197,0.488
0.045,0.06
0.036,0.06
0.031,0.06
0.055,0.054
0.044,0.098
0.014,0.047
0.002,0.01
0,0.038
0,0.038
0.028,0.038
0.049,0.038
0.2,0.57
0.078,0.036
0.509,0.702
,
0.038,0.702
0.032,0.039
,
0.002,0.039
,
0.164,0.307
0.007,0.035
0.535,0.65
0.097,0.087
0.59,0.76
0,0.036
0.144,0.014
0.529,0.719
0.004,0.128
0.688,0.719
0.4,0.719
0.573,0.719
0.317,0.719
0.32,0.719
0.725,0.719
0.035,0.048
0.36,0.674
0.042,0.076
0.032,0.096
0.048,0.041
0.063,0.09
0.027,0.076
0.04,0.034
0.025,0.102
0.076,0.102
0.031,0.098
0.07,0.076
0.069,0.062
0.028,0.062
0.049,0.062
0.061,0.062
0.04,0.062
0.076,0.062
0.056,0.062
0.084,0.062
0.033,0.062
0.047,0.088
0.06,0.088
0.178,0.098
0.108,0.098
0.005,0.079
0.055,0.079
0.045,0.079
0.049,0.079
0.188,0.158
0.658,0.643
0.641,0.571
0.666,0.571
0.024,0.044
0.058,0.04
0.045,0.04
0.091,0.04
0.051,0.04
0.023,0.04
,
0.072,0.04
,
0.083,0.1
0.032,0.06
0.052,0.06
0.838,0.691
0.034,0.04
,
0.033,0.055
0.789,0.643
0.046,0.079
0.008,0.033
0.769,0.822
0.278,0.492
0.031,0.118
0.049,0.049
0.044,0.049
0.02,0.049
0.049,0.049
0,0.049
0.057,0.151
0.148,0.094
0.07,0.094
0.134,0.094
0.17,0.094
0.16,0.094
0.139,0.094
0.103,0.094
,
0.015,0.054
0.018,0.054
,
0.092,0.054
,
0.202,0.23
0.142,0.187
0.123,0.121
0.007,0.159
0.04,0.05
0.111,0.165
0,0.159
0.071,0.159
0.065,0.159
0.053,0.159
0.029,0.159
0,0.159
0.076,0.097
0.091,0.275
0,0.239
0.028,0.103
0.183,0.139
0.406,0.074
,
0.038,0.259
0.342,0.074
,
0.502,0.641
0.186,0.095
,
0.008,0.123
0.079,0.189
,
0.052,0.171
0.24,0.171
0.13,0.171
0.069,0.171
0.194,0.171
0.188,0.171
0.004,0.189
0.195,0.343
0.251,0.343
0.16,0.12
0.033,0.12
0.263,0.14
,
0.073,0.148
0.102,0.14
,
0.15,0.14
,
0.174,0.14
0.219,0.14
,
0,0.14
,
0,0.14
,
0.145,0.343
0.145,0.189
0.064,0.189
